,userid
2022-02-24,3672
2022-02-25,5367
2022-02-26,5317
2022-02-27,5389
2022-02-28,4989
2022-03-01,5418
2022-03-02,5614
2022-03-03,5500
2022-03-04,6603
2022-03-05,7523
2022-03-06,7873
2022-03-07,8148
2022-03-08,7510
2022-03-09,7372
2022-03-10,7139
2022-03-11,6531
2022-03-12,6513
2022-03-13,7789
